total_pers,almenosuna,almenosu_1,nbi1_abs,nbi1_porc,nbi2_abs,nbi2_porc,nbi3_abs,nbi3_porc,nbi4_abs,nbi4_porc,nbi5_abs,nbi5_porc,cod_dpto,nom_dpto,cod_prov,nom_prov,cod_dist,nom_dist,num_hog,c1nbi_abs,c1nbi_porc,c2nbi_abs,c2nbi_porc,c3nbi_abs,c3nbi_porc,c4nbi_abs,c4nbi_porc,c5nbi_abs,c5nbi_porc,num_viv_pa,num_viv_op,vs_agua_rp,pvs_agua_r,vs_sh,pvs_sh,vs_aelec,pvs_aelec,v_ptierra,pv_ptierra,h_lenna,ph_lenna,hs_pclptb,phs_pclptb,hs_tcelu,phs_tcelu,hs_inter,phs_inter,v_1hab,pv_1hab,h_cocin,ph_cocin,sup_tot,pob_total,c5_p2_1,c5_p2_2,gr_quin_1,gr_quin_2,gr_quin_3,gr_quin_4,gr_quin_5,gr_edad_1,gr_edad_2,gr_edad_3,gr_edad_4,gr_edad_5,c5_p8_1,c5_p8_6,c5_p9_3,c5_p9_4,c5_p9_5,c5_p9_6,c5_p10_1,c5_p10_4,c5_p12_1,c5_p12_2,pet,pea,peao,pead,pei,p_sex_h,p_sex_m,p_ge_0a14,p_ge_15a29,p_ge_30a44,p_ge_45a64,p_ge_65ym,p_af_sis,p_af_ning,p_dl_hab,p_dl_mov,p_dl_ent,p_dl_rel,p_dni,p_no_docum,p_lees_si,p_lees_no,p_pet,p_pea,p_pea_o,p_pea_d,p_pei,pgr_quin1,pgr_quin2,pgr_quin3,pgr_quin4,pgr_quin5,fuente
4041,900,22.3,29,0.7,429,10.6,131,3.2,47,1.2,364,9,3,APURIMAC,302,ANDAHUAYLAS,30220,JOSE MARIA ARGUEDAS,1127,800,19.8,100,2.5,0,0,0,0,0,0,1590,1102,45,4.0834845735,819,74.3194192377,420,38.112522686,1037,94.1016333938,1091,96.8056787933,1099,97.5155279503,407,36.1135758651,1083,96.0958296362,142,12.8856624319,1100,97.6042590949,195.92,4081,1994,2087,461,499,464,372,366,1424,1080,759,510,308,3659,355,43,120,121,56,4059,4,2886,932,2752,1524,1428,96,1228,48.8605733889,51.1394266111,34.8934084783,26.4641019358,18.5983827493,12.4969370252,7.54716981132,89.6593972066,8.69884832149,1.05366331781,2.94045577064,2.96495956873,1.37221269297,99.460916442,0.0980151923548,70.717961284,22.8375398187,67.4344523401,37.3437882872,34.9914236707,2.35236461652,30.0906640529,11.2962509189,12.2273952463,11.3697623132,9.115412889,8.96839010047,"Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
2260,703,31.1,1,0,239,10.6,447,19.8,0,0,73,3.2,3,APURIMAC,304,AYMARAES,30415,TINTAY,849,646,28.6,57,2.5,0,0,0,0,0,0,2267,832,97,11.6586538462,614,73.7980769231,115,13.8221153846,715,85.9375,782,92.1083627797,819,96.4664310954,226,26.6195524146,778,91.6372202591,188,22.5961538462,784,92.34393404,136.58,2272,1110,1162,161,185,229,161,116,575,401,384,362,550,1951,143,17,71,27,12,2265,3,1637,544,1728,1335,1294,41,393,48.8556338028,51.1443661972,25.3080985915,17.6496478873,16.9014084507,15.9330985915,24.2077464789,85.8714788732,6.29401408451,0.74823943662,3.125,1.18838028169,0.528169014085,99.6919014085,0.132042253521,72.051056338,23.9436619718,76.0563380282,58.7588028169,56.9542253521,1.80457746479,17.2975352113,7.08626760563,8.1426056338,10.0792253521,7.08626760563,5.10563380282,"Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
708,143,20.2,27,3.8,72,10.2,19,2.7,5,0.7,36,5.1,3,APURIMAC,302,ANDAHUAYLAS,30206,HUAYANA,262,134,18.9,2,0.3,7,1,0,0,0,0,580,256,12,4.6875,138,53.90625,118,46.09375,246,96.09375,248,94.6564885496,261,99.6183206107,127,48.4732824427,259,98.8549618321,67,26.171875,264,100.763358779,96.87,750,366,384,58,80,82,59,37,220,136,144,106,144,666,34,2,11,6,5,744,4,581,137,545,226,208,18,319,48.8,51.2,29.3333333333,18.1333333333,19.2,14.1333333333,19.2,88.8,4.53333333333,0.266666666667,1.46666666667,0.8,0.666666666667,99.2,0.533333333333,77.4666666667,18.2666666667,72.6666666667,30.1333333333,27.7333333333,2.4,42.5333333333,7.73333333333,10.6666666667,10.9333333333,7.86666666667,4.93333333333,"Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
1803,1095,60.7,45,2.5,166,9.2,880,48.8,92,5.1,132,7.3,3,APURIMAC,304,AYMARAES,30404,CHAPIMARCA,727,904,50.1,169,9.4,15,0.8,7,0.4,0,0,1159,721,280,38.8349514563,482,66.8515950069,214,29.680998613,618,85.7142857143,695,95.598349381,711,97.7991746905,272,37.4140302613,721,99.1746905089,239,33.1484049931,732,100.687757909,213.09,1893,933,960,145,147,176,123,97,468,314,323,356,432,1658,126,30,154,53,26,1889,2,1356,456,1465,593,528,65,872,49.2868462758,50.7131537242,24.7226624406,16.587427364,17.0628631801,18.8061278394,22.8209191759,87.5858425779,6.65610142631,1.58478605388,8.1352350766,2.79978869519,1.3734812467,99.7886951928,0.105652403592,71.6323296355,24.088748019,77.3903856313,31.3259376651,27.8922345483,3.43370311675,46.0644479662,7.65979926043,7.76545166403,9.29741151611,6.49762282092,5.12414157422,"Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
683,64,9.4,0,0,35,5.1,10,1.5,5,0.7,14,2,3,APURIMAC,304,AYMARAES,30405,COLCABAMBA,268,64,9.4,0,0,0,0,0,0,0,0,615,260,5,1.92307692308,69,26.5384615385,29,11.1538461538,230,88.4615384615,250,93.2835820896,260,97.0149253731,57,21.2686567164,268,100,43,16.5384615385,255,95.1492537313,95.75,693,336,357,51,59,69,58,46,179,144,95,107,168,626,30,9,55,16,1,693,0,523,143,532,354,313,41,178,48.4848484848,51.5151515152,25.8297258297,20.7792207792,13.7085137085,15.4401154401,24.2424242424,90.3318903319,4.329004329,1.2987012987,7.93650793651,2.3088023088,0.1443001443,100,0,75.468975469,20.6349206349,76.7676767677,51.0822510823,45.1659451659,5.91630591631,25.6854256854,7.35930735931,8.51370851371,9.95670995671,8.36940836941,6.63780663781,"Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
1660,818,49.3,172,10.4,320,19.3,568,34.2,16,1,62,3.7,3,APURIMAC,303,ANTABAMBA,30304,JUAN ESPINOZA MEDRANO,685,539,32.5,238,14.3,41,2.5,0,0,0,0,1628,662,93,14.0483383686,371,56.0422960725,116,17.5226586103,566,85.498489426,550,80.2919708029,649,94.7445255474,259,37.8102189781,683,99.7080291971,310,46.8277945619,641,93.5766423358,623.22,1711,845,866,123,153,212,84,48,488,212,354,294,363,1465,89,18,69,28,25,1692,4,1312,329,1259,795,751,44,464,49.3863237873,50.6136762127,28.5213325541,12.390414962,20.6896551724,17.1829339568,21.2156633548,85.6224430158,5.2016364699,1.0520163647,4.03272939801,1.63646990064,1.46113383986,98.8895382817,0.233781414378,76.6803039158,19.2285213326,73.5827001753,46.4640561075,43.8924605494,2.57159555815,27.1186440678,7.18877849211,8.94213909994,12.390414962,4.90940970193,2.80537697253,"Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
2194,823,37.5,178,8.1,327,14.9,456,20.8,55,2.5,110,5,3,APURIMAC,304,AYMARAES,30406,COTARUSE,818,553,25.2,242,11,23,1,5,0.2,0,0,2002,818,131,16.0146699267,293,35.8190709046,154,18.826405868,733,89.608801956,720,88.0195599022,804,98.2885085575,422,51.5892420538,818,100,341,41.6870415648,1028,125.672371638,1749.83,2570,1359,1211,197,192,246,218,166,635,558,543,491,343,1954,246,16,82,20,23,2558,4,2017,447,1975,1109,1028,81,866,52.8793774319,47.1206225681,24.7081712062,21.7120622568,21.1284046693,19.1050583658,13.3463035019,76.0311284047,9.5719844358,0.622568093385,3.1906614786,0.778210116732,0.894941634241,99.53307393,0.155642023346,78.4824902724,17.3929961089,76.8482490272,43.1517509728,40,3.15175097276,33.6964980545,7.66536964981,7.47081712062,9.5719844358,8.48249027237,6.45914396887,"Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
2601,1139,43.8,196,7.5,479,18.4,695,26.7,47,1.8,166,6.4,3,APURIMAC,303,ANTABAMBA,30301,ANTABAMBA,1050,747,28.7,345,13.3,42,1.6,5,0.2,0,0,2371,994,245,24.6478873239,421,42.3541247485,299,30.0804828974,866,87.1227364185,694,66.0952380952,959,91.3333333333,489,46.5714285714,1040,99.0476190476,378,38.0281690141,876,83.4285714286,603.76,2776,1388,1388,193,270,356,179,111,819,426,521,486,524,2070,209,26,94,42,25,2758,1,2145,527,2027,1152,1076,76,875,50,50,29.5028818444,15.3458213256,18.7680115274,17.507204611,18.8760806916,74.5677233429,7.5288184438,0.936599423631,3.38616714697,1.51296829971,0.900576368876,99.3515850144,0.036023054755,77.2694524496,18.9841498559,73.0187319885,41.4985590778,38.7608069164,2.73775216138,31.5201729107,6.95244956772,9.72622478386,12.8242074928,6.44812680115,3.99855907781,"Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
1508,482,32,0,0,289,19.2,182,12.1,42,2.8,40,2.7,3,APURIMAC,304,AYMARAES,30409,LUCRE,522,421,27.9,51,3.4,10,0.7,0,0,0,0,1384,519,41,7.89980732177,184,35.4527938343,66,12.7167630058,488,94.0269749518,514,98.4674329502,518,99.2337164751,179,34.2911877395,510,97.7011494253,206,39.6917148362,515,98.6590038314,110.48,1529,749,780,143,129,189,131,63,461,284,250,205,329,1432,57,8,13,10,6,1528,0,970,480,1116,797,774,23,319,48.986265533,51.013734467,30.1504251145,18.5742315239,16.3505559189,13.4074558535,21.5173315893,93.6559843035,3.72792674951,0.523217789405,0.850228907783,0.654022236756,0.392413342054,99.9345977763,0,63.4401569653,31.3930673643,72.988881622,52.1255722695,50.6213211249,1.50425114454,20.8633093525,9.35251798561,8.43688685415,12.3610202747,8.5676913015,4.12034009156,"Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
1610,679,42.2,169,10.5,408,25.3,95,5.9,21,1.3,229,14.2,3,APURIMAC,302,ANDAHUAYLAS,30214,SAN MIGUEL DE CHACCRAMPA,503,490,30.4,140,8.7,44,2.7,5,0.3,0,0,1217,502,48,9.56175298805,396,78.8844621514,196,39.0438247012,484,96.4143426295,490,97.4155069583,501,99.6023856859,207,41.1530815109,503,100,248,49.4023904382,496,98.6083499006,83.37,1613,804,809,168,172,184,161,125,524,365,283,218,223,1547,29,15,74,20,13,1605,0,1114,401,1121,445,354,91,676,49.8450092994,50.1549907006,32.4860508369,22.6286422815,17.5449473032,13.5151890887,13.8251704898,95.9082455053,1.79789212647,0.929944203348,4.58772473652,1.23992560446,0.805951642901,99.5040297582,0,69.0638561686,24.8605083695,69.4978301302,27.5883446993,21.946683199,5.64166150031,41.9094854309,10.4153750775,10.6633601984,11.4073155611,9.98140111593,7.7495350279,"Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
